,x,,,
64,@gpa70 @SenSchumer @stevenmnuchin1 My 3 year old sounds intelligent next to a person who supports #Trump ..oh wait.,,,
65,Gallup: Trump Approval Rating Ticks Up to New High of 46 Percent ,,,
66,MAFIA SPIES -- Assassination Debate for the Trump Era ,,,
67,President Trump Honors Tiger Woods For F**king So Many Broads - HalfGuarded ,,,
68,Hey you #Trump &amp; #GOP 400 former DOJ prosecutors: Mueller had enough evidence to charge Trump ,,,
69,"RT @DearAuntCrabby: New York Times: Pelosi worries Trump won't give up power if he loses re-election by small margin 

",,,
70,"RT @Tombx7M: Alway remember..
#Tucker #Hannity #Tcot #Ccot #Qanon #MAGA  #KAG #Trump #WWG1WGA ",,,
71,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
72,"@MariaBartiromo @Judgenap @MorningsMaria @FoxBusiness One of the few brave truth tellers on Fox regarding #Trump-thank you, @Judgenap",,,
73,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
74,Go Lizzy Warren go! #USPoli #Warren2020 #ElizabethWarren #Trump #Biden #Bernie #WarrenHarris2020,,,
75,"So if it turns out to be #Biden vs #Trump in 2020, I guess that means we'll be faced with choosing ""the lesser of two grabbers.""",,,
76,I WILL TAKE BACK THE JOBS DONKEYS HAVE BEEN ROBBING US OF  #DonaldJHoofForPresident ##trump,,,
77,Trust Nancy Pelosi. She knows what she's doing. #Trump,,,
78,"RT @Tombx7M: Can you hear me now
#Tucker #Hannity #Tcot #Ccot #Qanon #MAGA  #KAG #Trump #WWG1WGA ",,,
79,"@JoeNBC @JonLemire And, #Trump Should be scared, rightly so, because no one KNOWS, MORE THAN TRUMP, HOW GUILTY HE IS.",,,
80,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
81,@atrupar HAHA  #Trump is so going to jail post presidency,,,
